Civilité;Nom;Prénom;Mandat;Circonscription;Département;Candidat-e parrainé-e;Date de publication
Mme;CHEVALIER;Laure;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;LE PEN Marine;07/03/2017
Mme;CHEVET;Mireille;Conseiller/ère régional-e;Hauts-de-France;Aisne;LE PEN Marine;07/03/2017
Mme;CHEYROUX;Claudie;Conseiller/ère régional-e;Nouvelle-Aquitaine;Pyrénées-Atlantiques;LE PEN Marine;07/03/2017
M;CHUDZIK;Antoine;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Saône-et-Loire;LE PEN Marine;07/03/2017
Mme;CLERC;Colette;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Haute-Saône;LE PEN Marine;07/03/2017
M;COET;André;Maire;Crèvecoeur-le-Grand;Oise;LE PEN Marine;07/03/2017
Mme;COLLARD;Anne-Marie;Conseiller/ère régional-e;Occitanie;Gard;LE PEN Marine;07/03/2017
M;COLLARD;Gilbert;Député-e;2e;Gard;LE PEN Marine;07/03/2017
M;COLOMBIER;Jacques;Conseiller/ère régional-e;Nouvelle-Aquitaine;Gironde;LE PEN Marine;07/03/2017
M;COLOMBIER;Matthieu;Conseiller/ère régional-e;Centre-Val de Loire;Indre;LE PEN Marine;07/03/2017
Mme;CONIGLIO;Stéfanie;Conseiller/ère régional-e;Grand Est;Moselle;LE PEN Marine;07/03/2017
Mme;COOLZAET;Françoise;Conseiller/ère régional-e;Hauts-de-France;Nord;LE PEN Marine;07/03/2017
Mme;CORBIERE;Sandrine;Conseiller/ère départemental-e;;Gard;LE PEN Marine;07/03/2017
M;CORDIER;Dany;Maire;Chaumesnil;Aube;LE PEN Marine;07/03/2017
M;CORTIADE;Claude;Maire;Montégut-Bourjac;Haute-Garonne;LE PEN Marine;07/03/2017
M;COUEILLE;Jean-René;Conseiller/ère régional-e;Centre-Val de Loire;Cher;LE PEN Marine;07/03/2017
M;COUTARD;Gilbert;Maire;Mésangueville;Seine-Maritime;LE PEN Marine;07/03/2017
M;CRENNE;Emmanuel;Conseiller/ère régional-e;Occitanie;Lot;LE PEN Marine;07/03/2017
M;CUIGNACHE;Alexandre;Conseiller/ère régional-e;Centre-Val de Loire;Eure-et-Loir;LE PEN Marine;07/03/2017
Mme;D'ORNANO;Mireille;Représentant-e français-e au Parlement européen;;Parlement européen;LE PEN Marine;07/03/2017
Mme;D'ORSANNE;Virginie;Conseiller/ère régional-e;Bretagne;Ille-et-Vilaine;LE PEN Marine;07/03/2017
M;DAGONNEAU;Jacky;Maire;Saint-Evroult-de-Montfort;Orne;LE PEN Marine;07/03/2017
M;DANVY;Jacques;Conseiller/ère départemental-e;;Var;LE PEN Marine;07/03/2017
M;DANZIN;Jacques;Conseiller/ère régional-e;Hauts-de-France;Nord;LE PEN Marine;07/03/2017
M;DAUGREILH;Jean-Pierre;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;LE PEN Marine;07/03/2017
M;DAVID;Geoffrey;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Var;LE PEN Marine;07/03/2017
Mme;DE AZEVEDO;Aurélie;Conseiller/ère régional-e;Nouvelle-Aquitaine;Charente;LE PEN Marine;07/03/2017
M;DE BEAUREGARD;Philippe;Maire;Camaret-sur-Aigues;Vaucluse;LE PEN Marine;07/03/2017
M;DE FOURNAS;Grégoire;Conseiller/ère départemental-e;;Gironde;LE PEN Marine;07/03/2017
Mme;DE FREITAS;Gorete;Conseiller/ère régional-e;Île-de-France;Val-de-Marne;LE PEN Marine;07/03/2017
Mme;DE KERVEREGUIN;Marie;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Isère;LE PEN Marine;07/03/2017
M;DE LA TOCNAYE;Thibaut;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Vaucluse;LE PEN Marine;07/03/2017
M;DE LACOSTE LAREYMONDIE;Jean-Marc;Conseiller/ère régional-e;Nouvelle-Aquitaine;Charente-Maritime;LE PEN Marine;07/03/2017
M;DE LEPINAU;Hervé;Conseiller/ère départemental-e;;Vaucluse;LE PEN Marine;07/03/2017
M;DE MELLON;Gérard;Conseiller/ère régional-e;Bretagne;Côtes-d'Armor;LE PEN Marine;07/03/2017
Mme;DE MEREUIL;Hortense;Conseiller/ère régional-e;Hauts-de-France;Nord;LE PEN Marine;07/03/2017
M;DE PEYRECAVE;Gabriel;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Loire;LE PEN Marine;07/03/2017
M;DE SAINT JUST D'AUTINGUES;Blaise;Maire;Autingues;Pas-de-Calais;LE PEN Marine;07/03/2017
M;DECUPPER;Michel;Maire;Lechâtelet;Côte-d'Or;LE PEN Marine;07/03/2017
Mme;DELACOUR;Fabienne;Conseiller/ère régional-e;Normandie;Eure;LE PEN Marine;07/03/2017
M;DELAIRE;Jacques;Conseiller/ère départemental-e;;Pas-de-Calais;LE PEN Marine;07/03/2017
Mme;DEMANGE;Cindy;Conseiller/ère régional-e;Grand Est;Marne;LE PEN Marine;07/03/2017
M;DEMOULIN;Sylvain;Maire;Vescheim;Moselle;LE PEN Marine;07/03/2017
M;DENIAU;Pierre;Conseiller/ère régional-e;Hauts-de-France;Oise;LE PEN Marine;07/03/2017
M;DERAMECOURT;Jean;Maire;Epécamps;Somme;LE PEN Marine;07/03/2017
M;DESANLIS;Pascal;Maire;Maizières;Haute-Marne;LE PEN Marine;07/03/2017
M;DESBOVES;Alain;Maire;Ancienville;Aisne;LE PEN Marine;07/03/2017
Mme;DESCAMPS;Véronique;Conseiller/ère régional-e;Hauts-de-France;Nord;LE PEN Marine;07/03/2017
M;DESIES;Bruno;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Isère;LE PEN Marine;07/03/2017
Mme;DESMAZIERES;Marie;Conseiller/ère régional-e;Hauts-de-France;Nord;LE PEN Marine;07/03/2017
Mme;DESPAS;Maryse;Conseiller/ère régional-e;Grand Est;Ardennes;LE PEN Marine;07/03/2017
Mme;DESSEIGNE;Nathalie;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Jura;LE PEN Marine;07/03/2017
Mme;DIAZ;Edwige;Conseiller/ère régional-e;Nouvelle-Aquitaine;Gironde;LE PEN Marine;07/03/2017
M;DIDELOT;Andréa;Conseiller/ère régional-e;Grand Est;Bas-Rhin;LE PEN Marine;07/03/2017
M;DILLIES;Eric;Conseiller/ère régional-e;Hauts-de-France;Nord;LE PEN Marine;07/03/2017
Mme;DIMITROFF-MEKAROV;Agapia;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Vaucluse;LE PEN Marine;07/03/2017
Mme;DISDIER;Mélanie;Conseiller/ère régional-e;Hauts-de-France;Nord;LE PEN Marine;07/03/2017
Mme;DO SANTOS;Marina;Conseiller/ère régional-e;Grand Est;Vosges;LE PEN Marine;07/03/2017
Mme;DOMBES;Marie;Conseiller/ère régional-e;Occitanie;Haute-Garonne;LE PEN Marine;07/03/2017
M;DONADA;Gilles;Conseiller/ère régional-e;Occitanie;Gard;LE PEN Marine;07/03/2017
Mme;DOUNOT-SOBRAQUES;Chantal;Conseiller/ère régional-e;Occitanie;Haute-Garonne;LE PEN Marine;07/03/2017
M;DUBOIS;Jean-Michel;Conseiller/ère régional-e;Île-de-France;Val-d'Oise;LE PEN Marine;07/03/2017
M;DUBOIS;Robert;Conseiller/ère régional-e;Nouvelle-Aquitaine;Dordogne;LE PEN Marine;07/03/2017
Mme;DUCHAUSSOY;Françoise;Conseiller/ère régional-e;Normandie;Seine-Maritime;LE PEN Marine;07/03/2017
M;DUFLOS;Jean-Yves;Maire;Saint-Michel-d'Halescourt;Seine-Maritime;LE PEN Marine;07/03/2017
Mme;DUFOUR;Antonia;Conseiller/ère départemental-e;;Vaucluse;LE PEN Marine;07/03/2017
M;DULAC;Michel;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Ain;LE PEN Marine;07/03/2017
M;DULONG;Pierre;Maire;Ligardes;Gers;LE PEN Marine;07/03/2017
M;DUPRE;Benoît;Maire;Grécourt;Somme;LE PEN Marine;07/03/2017
Mme;DURIEZ;Marie-Christine;Conseiller/ère régional-e;Hauts-de-France;Pas-de-Calais;LE PEN Marine;07/03/2017
Mme;DUVEAU;Daisy;Conseiller/ère départemental-e;;Pas-de-Calais;LE PEN Marine;07/03/2017
M;ENGELMANN;Fabien;Maire;Hayange;Moselle;LE PEN Marine;07/03/2017
Mme;ENGRAND;Christine;Conseiller/ère régional-e;Hauts-de-France;Nord;LE PEN Marine;07/03/2017
Mme;ERRE;Edith;Conseiller/ère départemental-e;;Marne;LE PEN Marine;07/03/2017
M;ERRE;Pascal;Conseiller/ère régional-e;Grand Est;Marne;LE PEN Marine;07/03/2017
M;EVRARD;José;Conseiller/ère départemental-e;;Pas-de-Calais;LE PEN Marine;07/03/2017
M;EYMERY;Philippe;Conseiller/ère régional-e;Hauts-de-France;Nord;LE PEN Marine;07/03/2017
M;FABRE;Gérard;Maire;Mérial;Aude;LE PEN Marine;07/03/2017
Mme;FATNA;Huguette;Conseiller/ère régional-e;Île-de-France;Seine-Saint-Denis;LE PEN Marine;07/03/2017
M;FAURE;Gilbert;Maire;Villacerf;Aube;LE PEN Marine;07/03/2017
M;FAUROT;Eric;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Puy-de-Dôme;LE PEN Marine;07/03/2017
Mme;FERRAND;Alexandrine;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Yonne;LE PEN Marine;07/03/2017
M;FERRAND;Edouard;Représentant-e français-e au Parlement européen;;Parlement européen;LE PEN Marine;07/03/2017
Mme;FIOL;Muriel;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Var;LE PEN Marine;07/03/2017
M;FOUQUART;Emmanuel;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;LE PEN Marine;07/03/2017
M;FOURNIER;Eric;Maire;Balnot-sur-Laignes;Aube;LE PEN Marine;07/03/2017
M;FUSTER;Jean Pierre;Conseiller/ère départemental-e;;Gard;LE PEN Marine;07/03/2017
M;GAILLARD;Jacques;Conseiller/ère régional-e;Normandie;Seine-Maritime;LE PEN Marine;07/03/2017
M;GANNAT;Pascal;Conseiller/ère régional-e;Pays de la Loire;Sarthe;LE PEN Marine;07/03/2017
M;GARCIN;Jean-Marie;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Savoie;LE PEN Marine;07/03/2017
Mme;GARDET;Laurence;Conseiller/ère régional-e;Occitanie;Gard;LE PEN Marine;07/03/2017
M;GASTON;Gérald;Maire;Villeneuve-sur-Verberie;Oise;LE PEN Marine;07/03/2017
M;GATTO;Yves;Maire;Marey;Vosges;LE PEN Marine;07/03/2017
M;GAUBERT;François;Conseiller/ère régional-e;Occitanie;Hérault;LE PEN Marine;07/03/2017
M;GAUTIER;Gérard;Maire;Cers;Hérault;LE PEN Marine;07/03/2017
M;GELY;Robert;Maire;Lieuran-lès-Béziers;Hérault;LE PEN Marine;07/03/2017
Mme;GENEVREY;Marie;Conseiller/ère régional-e;Pays de la Loire;Sarthe;LE PEN Marine;07/03/2017
M;GEOFFROY;julien;Maire;Le Fayel;Oise;LE PEN Marine;07/03/2017
M;GIACOMI;Charles;Maire;Pruno;Haute-Corse;LE PEN Marine;07/03/2017
Mme;GILBERT;Isabelle;Conseiller/ère régional-e;Normandie;Seine-Maritime;LE PEN Marine;07/03/2017
M;GILLET;Yoann;Conseiller/ère régional-e;Occitanie;Gard;LE PEN Marine;07/03/2017
Mme;GILLIOT;Marie-Christine;Conseiller/ère départemental-e;;Aisne;LE PEN Marine;07/03/2017
M;GNAEDIG;Laurent;Conseiller/ère régional-e;Grand Est;Bas-Rhin;LE PEN Marine;07/03/2017
Mme;GODDYN;Sylvie;Représentant-e français-e au Parlement européen;;Parlement européen;LE PEN Marine;07/03/2017
M;GOLLIOT;Antoine;Conseiller/ère régional-e;Hauts-de-France;Pas-de-Calais;LE PEN Marine;07/03/2017
M;GONDRAN;Bernard;Conseiller/ère régional-e;Occitanie;Ariège;LE PEN Marine;07/03/2017
M;GOSSLER;François;Maire;Bannay;Moselle;LE PEN Marine;07/03/2017
Mme;GOURAUD;Béatrice;Conseiller/ère départemental-e;;Oise;LE PEN Marine;07/03/2017
M;GOURLOT;Thierry;Conseiller/ère régional-e;Grand Est;Moselle;LE PEN Marine;07/03/2017
M;GRIMAUX;Patrice;Maire;Ennemain;Somme;LE PEN Marine;07/03/2017
Mme;GROLET;Françoise;Conseiller/ère régional-e;Grand Est;Moselle;LE PEN Marine;07/03/2017
M;GROSSE;Jean;Maire;Saint-Jean-Kourtzerode;Moselle;LE PEN Marine;07/03/2017
M;GROSSE-CRUCIANI;Jordan;Conseiller/ère régional-e;Grand Est;Vosges;LE PEN Marine;07/03/2017
Mme;GUIBERT;Audrey;Conseiller/ère régional-e;Île-de-France;Essonne;LE PEN Marine;07/03/2017
M;GUIBERT;Julien;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Yonne;LE PEN Marine;07/03/2017
Mme;GUILLARME REDL;Valérie;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Saône-et-Loire;LE PEN Marine;07/03/2017
M;GUINIOT;Michel;Conseiller/ère départemental-e;;Oise;LE PEN Marine;07/03/2017
Mme;HAVERLANT;Karine;Conseiller/ère départemental-e;;Pas-de-Calais;LE PEN Marine;07/03/2017
Mme;HAVEZ;Audrey;Conseiller/ère régional-e;Hauts-de-France;Pas-de-Calais;LE PEN Marine;07/03/2017
M;HEBRARD;Joris;Maire;Le Pontet;Vaucluse;LE PEN Marine;07/03/2017
M;HEMMERTER;Norbert;Maire;Metting;Moselle;LE PEN Marine;07/03/2017
M;HEQUET;Michel;Maire;Audembert;Pas-de-Calais;LE PEN Marine;07/03/2017
M;HERBRETEAU;Raymond;Maire;Les Ventes-de-Bourse;Orne;LE PEN Marine;07/03/2017
Mme;HOET;Jessica;Conseiller/ère départemental-e;;Var;LE PEN Marine;07/03/2017
M;HOFF;Hervé;Conseiller/ère régional-e;Grand Est;Moselle;LE PEN Marine;07/03/2017
M;HOUDET;Christian;Conseiller/ère régional-e;Nouvelle-Aquitaine;Landes;LE PEN Marine;07/03/2017
M;HOUSSIN;Timothée;Conseiller/ère régional-e;Normandie;Eure;LE PEN Marine;07/03/2017
M;HUARD;Pascal;Maire;Monts-en-Bessin;Calvados;LE PEN Marine;07/03/2017
M;HUSTAIX;Gilles;Conseiller/ère régional-e;Nouvelle-Aquitaine;Pyrénées-Atlantiques;LE PEN Marine;07/03/2017
M;IBBA;Antoine;Conseiller/ère départemental-e;;Pas-de-Calais;LE PEN Marine;07/03/2017
M;IRAGNE;Bertrand;Conseiller/ère régional-e;Bretagne;Morbihan;LE PEN Marine;07/03/2017
M;IRATCHET;Jean-Michel;Conseiller/ère régional-e;Nouvelle-Aquitaine;Pyrénées-Atlantiques;LE PEN Marine;07/03/2017
Mme;ITALIANI;Florence;Conseiller/ère régional-e;Hauts-de-France;Oise;LE PEN Marine;07/03/2017
Mme;JABOULET;Claude;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;LE PEN Marine;07/03/2017
Mme;JACQUART;Guylaine;Conseiller/ère départemental-e;;Pas-de-Calais;LE PEN Marine;07/03/2017
M;JALKH;Jean-François;Représentant-e français-e au Parlement européen;;Parlement européen;LE PEN Marine;07/03/2017
Mme;JAMET;France;Conseiller/ère régional-e;Occitanie;Hérault;LE PEN Marine;07/03/2017
M;JENFT;Pascal;Conseiller/ère régional-e;Grand Est;Vosges;LE PEN Marine;07/03/2017
Mme;JORAND;Nathalie;Conseiller/ère départemental-e;;Oise;LE PEN Marine;07/03/2017
Mme;JORON;Virginie;Conseiller/ère régional-e;Grand Est;Haut-Rhin;LE PEN Marine;07/03/2017
Mme;JOUBERT;Florence;Conseiller/ère régional-e;Nouvelle-Aquitaine;Dordogne;LE PEN Marine;07/03/2017
Mme;JUILLE;Vanessa;Conseiller/ère régional-e;Île-de-France;Essonne;LE PEN Marine;07/03/2017
Mme;KAUFMANN;Corinne;Conseiller/ère régional-e;Grand Est;Meuse;LE PEN Marine;07/03/2017
M;KAZNOWSKI;Guillaume;Conseiller/ère régional-e;Hauts-de-France;Pas-de-Calais;LE PEN Marine;07/03/2017
Mme;KESSLER;Anne;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;LE PEN Marine;07/03/2017
Mme;KLEIN;Eliane;Conseiller/ère régional-e;Grand Est;Bas-Rhin;LE PEN Marine;07/03/2017
Mme;KURDZIEL;Marie-Françoise;Conseiller/ère régional-e;Normandie;Manche;LE PEN Marine;07/03/2017
M;LABACHE;Philippe;Maire;Ainvelle;Haute-Saône;LE PEN Marine;07/03/2017
M;LABRUNIE;André;Maire;Colmier-le-Haut;Haute-Marne;LE PEN Marine;07/03/2017
M;LACAPELLE;Jean-Lin;Conseiller/ère régional-e;Île-de-France;Hauts-de-Seine;LE PEN Marine;07/03/2017
M;LAHOTTE;Hervé;Maire;Senuc;Ardennes;LE PEN Marine;07/03/2017
Mme;LALANNE DE HAUT;Elizabeth;Conseiller/ère régional-e;Normandie;Seine-Maritime;LE PEN Marine;07/03/2017
M;LAMARA;Laurent;Conseiller/ère régional-e;Nouvelle-Aquitaine;Gironde;LE PEN Marine;07/03/2017
M;LAMBERT;Jean;Maire;Gouraincourt;Meuse;LE PEN Marine;07/03/2017
M;LAMBILLIOTTE;Philippe;Conseiller/ère régional-e;Hauts-de-France;Oise;LE PEN Marine;07/03/2017
M;LAMOTTE;Quentin;Conseiller/ère régional-e;Occitanie;Haute-Garonne;LE PEN Marine;07/03/2017
Mme;LANCINE;Brigitte;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Var;LE PEN Marine;07/03/2017
M;LANDART;Denis;Maire;La Grandville;Ardennes;LE PEN Marine;07/03/2017
M;LANGEVIN;Vincent;Maire;Gonfreville;Manche;LE PEN Marine;07/03/2017
M;LANSADE;Marc Étienne;Maire;Cogolin;Var;LE PEN Marine;07/03/2017
Mme;LASSARRE;Florence;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Nièvre;LE PEN Marine;07/03/2017
Mme;LAVANRY;Francine;Conseiller/ère régional-e;Normandie;Orne;LE PEN Marine;07/03/2017
M;LE FUR;Patrick;Conseiller/ère régional-e;Bretagne;Finistère;LE PEN Marine;07/03/2017
M;LEBRETON;Gilles;Représentant-e français-e au Parlement européen;;Parlement européen;LE PEN Marine;07/03/2017
Mme;LECHANTEUX;Julie;Conseiller/ère départemental-e;;Var;LE PEN Marine;07/03/2017
M;LECHEVALIER;Christian;Conseiller/ère régional-e;Bretagne;Morbihan;LE PEN Marine;07/03/2017
M;LECOINNET;Jean-Philippe;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Var;LE PEN Marine;07/03/2017
M;LECOQ;Philippe;Conseiller/ère régional-e;Centre-Val de Loire;Loiret;LE PEN Marine;07/03/2017
M;LECOULTRE;Noël;Conseiller/ère départemental-e;;Aisne;LE PEN Marine;07/03/2017
M;LEFEVRE;Jackie;Maire délégué-e;Chevillon;Haute-Marne;LE PEN Marine;07/03/2017
M;LEFEVRE;Jean-Christophe;Conseiller/ère régional-e;Grand Est;Aube;LE PEN Marine;07/03/2017
M;LENOIR;Damien;Conseiller/ère régional-e;Normandie;Seine-Maritime;LE PEN Marine;07/03/2017
M;LEONARDELLI;Julien;Conseiller/ère régional-e;Occitanie;Haute-Garonne;LE PEN Marine;07/03/2017
Mme;LEPLAT;Astrid;Conseiller/ère régional-e;Hauts-de-France;Nord;LE PEN Marine;07/03/2017
M;LESCOAT;Honoré;Maire;Tréogan;Côtes-d'Armor;LE PEN Marine;07/03/2017
M;LETOURNEUR;Jean-Paul;Conseiller/ère départemental-e;;Oise;LE PEN Marine;07/03/2017
Mme;LIGOUT;Sandrine;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Rhône;LE PEN Marine;07/03/2017
M;LOEUILLET;Benoit;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;LE PEN Marine;07/03/2017
M;LOISEAU;Philippe;Représentant-e français-e au Parlement européen;;Parlement européen;LE PEN Marine;07/03/2017
M;LOMBARD;Patrice;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Haute-Saône;LE PEN Marine;07/03/2017
M;LOTTIAUX;Philippe;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Vaucluse;LE PEN Marine;07/03/2017
M;LUCZKA;Guillaume;Conseiller/ère régional-e;Grand Est;Ardennes;LE PEN Marine;07/03/2017
Mme;LUSSAUD;Marguerite;Conseiller/ère régional-e;Pays de la Loire;Loire-Atlantique;LE PEN Marine;07/03/2017
M;MALHERBE;Gonzague;Conseiller/ère régional-e;Nouvelle-Aquitaine;Gironde;LE PEN Marine;07/03/2017
Mme;MANUTAHI EPSE LEVY-AGAMI;Sandra;Membre de l'assemblée de la Polynésie française;;Polynésie Française;LE PEN Marine;07/03/2017
Mme;MARAIS-BEUIL;Claire;Conseiller/ère régional-e;Hauts-de-France;Oise;LE PEN Marine;07/03/2017
M;MARCHAL;Marc;Maire;Saint-Pierre;Alpes-de-Haute-Provence;LE PEN Marine;07/03/2017
Mme;MARCHAND;Nadine;Conseiller/ère départemental-e;;Haute-Marne;LE PEN Marine;07/03/2017
M;MARCHETTI;Ludovic;Conseiller/ère régional-e;Centre-Val de Loire;Loiret;LE PEN Marine;07/03/2017
M;MARECAUX;Christophe;Conseiller/ère régional-e;Hauts-de-France;Nord;LE PEN Marine;07/03/2017
Mme;MARECHAL-LE PEN;Marion;Député-e;3e;Vaucluse;LE PEN Marine;07/03/2017
M;MARIE;Patrick;Maire;La Burbanche;Ain;LE PEN Marine;07/03/2017
Mme;MARION;Agnès;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Rhône;LE PEN Marine;07/03/2017
M;MARTIN;Brice;Maire;Rosnay-l'Hôpital;Aube;LE PEN Marine;07/03/2017
M;MARTIN;Daniel;Maire;Nesle-Normandeuse;Seine-Maritime;LE PEN Marine;07/03/2017
M;MARTIN;Dominique;Représentant-e français-e au Parlement européen;;Parlement européen;LE PEN Marine;07/03/2017
M;MASSON;Alain;Maire;Précy-Notre-Dame;Aube;LE PEN Marine;07/03/2017
M;MASSON-WEYL;David;Conseiller/ère régional-e;Grand Est;Meurthe-et-Moselle;LE PEN Marine;07/03/2017
M;MAURIN;Gérard;Conseiller/ère régional-e;Occitanie;Hérault;LE PEN Marine;07/03/2017
M;MEIZONNET;Jean-Louis;Conseiller/ère régional-e;Occitanie;Gard;LE PEN Marine;07/03/2017
M;MEIZONNET;Nicolas;Conseiller/ère départemental-e;;Gard;LE PEN Marine;07/03/2017
Mme;MELIN;Joëlle;Représentant-e français-e au Parlement européen;;Parlement européen;LE PEN Marine;07/03/2017
M;MELLIES;Antoine;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Ardèche;LE PEN Marine;07/03/2017
Mme;MEUNIER;Christine;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Var;LE PEN Marine;07/03/2017
M;MEUNIER;Jean-Louis;Maire;Venère;Haute-Saône;LE PEN Marine;07/03/2017
M;MIAILHES;Philippe;Conseiller/ère régional-e;Bretagne;Finistère;LE PEN Marine;07/03/2017
M;MICHEL;Claude;Maire;Criquiers;Seine-Maritime;LE PEN Marine;07/03/2017
Mme;MICHELIN;Edith;Maire;Mailleroncourt-Charette;Haute-Saône;LE PEN Marine;07/03/2017
M;MIGEOT;Michel;Maire;Sérocourt;Vosges;LE PEN Marine;07/03/2017
Mme;MINA;Nicole;Conseiller/ère régional-e;Occitanie;Hérault;LE PEN Marine;07/03/2017
M;MONNIER;Thibaut;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Allier;LE PEN Marine;07/03/2017
M;MONOT;Bernard;Représentant-e français-e au Parlement européen;;Parlement européen;LE PEN Marine;07/03/2017
M;MONTEIL;Olivier;Conseiller/ère régional-e;Occitanie;Hautes-Pyrénées;LE PEN Marine;07/03/2017
Mme;MONTEL;Sophie;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Doubs;LE PEN Marine;07/03/2017
M;MORIO;Robert;Conseiller/ère régional-e;Occitanie;Aude;LE PEN Marine;07/03/2017
M;MOUFLARD;Claude;Conseiller/ère départemental-e;;Aisne;LE PEN Marine;07/03/2017
M;MOULIN;Jean-Marie;Maire;Saint-Bonnet-du-Gard;Gard;LE PEN Marine;07/03/2017
M;MOUTIER;Joseph;Maire;Lutzelbourg;Moselle;LE PEN Marine;07/03/2017
M;MUZARD;Régis;Maire délégué-e;Broye-Aubigney-Montseugny;Haute-Saône;LE PEN Marine;07/03/2017
M;NARQUIN;Jean-Yves;Maire;Villedieu-le-Château;Loir-et-Cher;LE PEN Marine;07/03/2017
M;NAVARRANNE;Amaury;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Hautes-Alpes;LE PEN Marine;07/03/2017
M;NAVE;Adrien;Conseiller/ère régional-e;Hauts-de-France;Nord;LE PEN Marine;07/03/2017
Mme;NEDELEC;Brigitte;Conseiller/ère régional-e;Pays de la Loire;Loire-Atlantique;LE PEN Marine;07/03/2017
M;NICOT;Pascal;Conseiller/ère régional-e;Pays de la Loire;Sarthe;LE PEN Marine;07/03/2017
M;NOËL;Jean-Jacques;Conseiller/ère régional-e;Normandie;Manche;LE PEN Marine;07/03/2017
M;NOIROT;Lilian;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Saône-et-Loire;LE PEN Marine;07/03/2017
M;NOIROT;Pierre;Maire;Sauvigny-le-Beuréal;Yonne;LE PEN Marine;07/03/2017
M;NORMAND;Olivier;Conseiller/ère régional-e;Hauts-de-France;Pas-de-Calais;LE PEN Marine;07/03/2017
M;ODOUL;Julien;Conseiller/ère régional-e;Bourgogne-Franche-Comté;Yonne;LE PEN Marine;07/03/2017
M;ORTEGA;Patrice;Maire;Oupia;Hérault;LE PEN Marine;07/03/2017
M;PAJOT;Ludovic;Conseiller/ère régional-e;Hauts-de-France;Pas-de-Calais;LE PEN Marine;07/03/2017
M;PALUTEAU;Bruno;Conseiller/ère régional-e;Nouvelle-Aquitaine;Gironde;LE PEN Marine;07/03/2017
M;PANIER;Lucien;Maire;Felce;Haute-Corse;LE PEN Marine;07/03/2017
Mme;PARENT;Nathalie;Maire;Sourans;Doubs;LE PEN Marine;07/03/2017
Mme;PARIS;Mathilde;Conseiller/ère régional-e;Centre-Val de Loire;Loir-et-Cher;LE PEN Marine;07/03/2017
M;PARKER;Gérard;Maire délégué-e;Taiarapu-Ouest;Polynésie Française;LE PEN Marine;07/03/2017
Mme;PAROLIN;Marie-Christine;Conseiller/ère régional-e;Occitanie;Haute-Garonne;LE PEN Marine;07/03/2017
M;PARTOUT;Didier;Maire;Saint-Léger-sous-Brienne;Aube;LE PEN Marine;07/03/2017
Mme;PAVARD;Nathalie;Conseiller/ère régional-e;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;LE PEN Marine;07/03/2017
Mme;PELLIER;Laure;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Drôme;LE PEN Marine;07/03/2017
M;PENNELLE;Gilles;Conseiller/ère régional-e;Bretagne;Ille-et-Vilaine;LE PEN Marine;07/03/2017
M;PENNELLE;Guillaume;Conseiller/ère régional-e;Normandie;Seine-Maritime;LE PEN Marine;07/03/2017
M;PERROT;Charles;Conseiller/ère régional-e;Auvergne-Rhône-Alpes;Loire;LE PEN Marine;07/03/2017
M;PETITET;Jean-Pierre;Maire;Mesnil-Lettre;Aube;LE PEN Marine;07/03/2017
